Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
eu01	08/05/2024 12:03:26	0.79	0.04	Eta guai sutaila hitza esanko dot	s̺	0.4086	-48.8781	-7.9922	-37.3251	-10.7191	-26.5477	-12.1597	-15.5733	-8.9781	-4.5363	0.3309	3.872	11.4262	7.2733	17.6046	9.2939	22.9228	10.2232	28.7324	11.1676	34.7661	11.0892	7.342	-56.8221	46.3288	-33.6571	37.6586	-27.2338	46.3288	-33.6571
eu01	08/05/2024 12:03:35	0.91	0.06	Eta guai aza hitza esanko dot	s̻	-4.7096	-51.414	-12.7749	-42.2418	-14.1094	-29.8995	-10.6654	-18.8402	-5.1452	-7.9859	3.2651	1.7626	15.2949	5.0398	21.1717	5.8161	26.5325	6.3123	31.8066	7.025	37.6332	7.8202	6.7608	-54.723	45.9177	-32.4274	38.8245	-26.0879	45.9177	-32.4274
eu01	08/05/2024 12:03:40	0.955	0.055	Eta guai hausi hitza esanko dot	s̺	0.6479	-50.7742	-2.7481	-37.6174	-3.0695	-22.7187	-2.1421	-10.6148	-1.4737	2.5927	5.407	13.1317	16.6471	15.4737	21.5111	13.7204	25.754	13.2065	31.4494	12.1182	37.4337	11.3776	11.3	-57.2205	45.3982	-30.2855	38.7862	-24.7065	45.3982	-30.2855
eu01	08/05/2024 12:03:55	1.005	0.045	Eta guai jaitsi hitza esanko dot	s̺	1.4231	-50.6842	-2.8213	-37.9035	-1.4963	-23.0871	-0.6243	-11.0039	-0.2741	1.9373	4.559	13.5534	15.7771	15.9146	20.3177	14.897	24.4895	14.6952	30.0748	13.9773	34.5656	13.0773	11.3847	-56.3243	44.8423	-30.4134	39.3369	-24.7954	44.8423	-30.4134
eu01	08/05/2024 12:04:00	1.13	0.03	Eta guai putzutai hitza esanko dot	s̻	-1.2746	-50.3504	-6.9677	-40.2375	-10.1902	-29.3573	-9.8327	-17.7558	-7.9341	-8.0992	1.4243	-1.2493	12.6136	2.3106	18.8352	4.2092	23.9429	5.4567	29.5455	7.4533	34.9228	10.0227	8.4285	-56.6043	46.2246	-32.9362	41.1914	-25.5199	46.2246	-32.9362
eu01	08/05/2024 12:05:02	0.83	0.04	Eta guai diskutitu hitza esanko dot	s̺	-2.1803	-42.5472	-8.1173	-31.9425	-10.4953	-19.5617	-11.4829	-9.2379	-8.8717	1.9302	-0.0902	10.5648	11.451	10.5771	16.7664	9.9301	22.6426	10.6071	28.9129	10.8567	34.9316	9.7906	3.2336	-53.134	47.0952	-33.8566	38.8253	-25.9678	47.0952	-33.8566
eu01	08/05/2024 12:05:12	1.28	0.02	Eta guai mahatsa hitza esanko dot	s̺	0.4343	-48.7614	-6.4442	-36.5255	-4.7525	-24.0088	-0.1905	-12.7408	1.859	1.1333	8.5629	12.7984	21.1761	13.4028	25.5345	11.9155	30.7557	11.1036	36.9209	10.1575	41.845	8.4187	10.9819	-52.9966	45.2415	-34.6642	39.1456	-26.9396	45.2415	-34.6642
eu01	08/05/2024 12:05:27	1.03	0.05	Eta guai senargai hitza esanko dot	s̺	-0.7641	-51.3489	-8.97	-42.1486	-10.8248	-31.9654	-8.2233	-20.8627	-2.7123	-9.4991	3.3893	1.0396	14.299	7.663	19.9065	9.5937	25.7465	11.6726	31.1756	12.6737	37.3919	13.1367	6.9533	-53.7144	45.6014	-32.1794	37.3927	-26.2508	45.6014	-32.1794
eu01	08/05/2024 12:06:04	1.32	0.04	Eta guai motzoi hitza esanko dot	s̻	-4.711	-52.0707	-11.082	-41.1625	-15.0059	-30.4469	-14.1009	-19.4664	-9.3451	-8.8764	0.5087	0.1768	13.2587	3.6338	19.9701	4.4224	26.1602	4.2699	31.7578	4.7936	37.9489	4.2826	7.405	-53.481	47.0836	-35.5495	40.0095	-26.3829	47.0836	-35.5495
eu01	08/05/2024 12:06:15	0.83	0.04	Eta guai sutai hitza esanko dot	s̺	-0.6042	-50.846	-5.6967	-39.9861	-10.3376	-29.4144	-12.8288	-18.7129	-11.5172	-7.5801	-1.1416	0.7075	11.1806	4.7693	18.0672	7.337	24.1113	8.7239	30.4218	9.2802	39.0872	8.6795	6.1386	-57.8383	46.6095	-33.8343	38.1261	-27.4604	46.6095	-33.8343
